"MUNIC_RES","ANO","POPULACAO"
"110001","2011",24228
"110002","2011",91570
"110003","2011",6221
"110004","2011",78959
"110005","2011",16939
"110006","2011",18338
"110007","2011",8655
"110008","2011",14023
"110009","2011",28963
"110010","2011",41934
"110011","2011",51883
"110012","2011",117363
"110013","2011",31780
"110014","2011",19883
"110015","2011",37702
"110018","2011",33981
"110020","2011",435732
"110025","2011",22009
"110026","2011",3346
"110028","2011",50899
"110029","2011",8678
"110030","2011",77937
"110032","2011",21879
"110033","2011",23143
"110034","2011",16625
"110037","2011",12825
"110040","2011",17444
"110045","2011",32899
"110050","2011",10084
"110060","2011",5764
"110070","2011",12758
"110080","2011",20292
"110090","2011",3527
"110092","2011",8515
"110094","2011",16570
"110100","2011",10272
"110110","2011",8700
"110120","2011",10277
"110130","2011",11781
"110140","2011",14204
"110143","2011",7437
"110145","2011",4902
"110146","2011",2299
"110147","2011",3464
"110148","2011",5939
"110149","2011",16341
"110150","2011",11624
"110155","2011",4832
"110160","2011",10612
"110170","2011",12828
"110175","2011",9511
"110180","2011",8084
"120001","2011",12779
"120005","2011",6192
"120010","2011",21837
"120013","2011",8629
"120017","2011",9088
"120020","2011",79174
"120025","2011",15394
"120030","2011",32487
"120032","2011",6740
"120033","2011",15554
"120034","2011",8105
"120035","2011",14683
"120038","2011",17401
"120039","2011",9448
"120040","2011",342299
"120042","2011",14832
"120043","2011",4879
"120045","2011",20387
"120050","2011",38709
"120060","2011",36186
"120070","2011",16370
"120080","2011",15213
"130002","2011",14237
"130006","2011",9633
"130008","2011",10495
"130010","2011",16701
"130014","2011",18326
"130020","2011",15545
"130030","2011",32733
"130040","2011",25835
"130050","2011",27722
"130060","2011",34194
"130063","2011",15828
"130068","2011",15325
"130070","2011",30906
"130080","2011",35448
"130083","2011",11142
"130090","2011",13843
"130100","2011",25955
"130110","2011",33132
"130115","2011",24442
"130120","2011",76646
"130130","2011",23644
"130140","2011",31020
"130150","2011",16635
"130160","2011",23011
"130165","2011",14189
"130170","2011",45105
"130180","2011",22867
"130185","2011",41374
"130190","2011",87970
"130195","2011",8010
"130200","2011",8281
"130210","2011",7388
"130220","2011",11126
"130230","2011",18145
"130240","2011",38373
"130250","2011",86078
"130255","2011",23576
"130260","2011",1832424
"130270","2011",47707
"130280","2011",17563
"130290","2011",53173
"130300","2011",18503
"130310","2011",31232
"130320","2011",15113
"130330","2011",21784
"130340","2011",102946
"130350","2011",18249
"130353","2011",27926
"130356","2011",26344
"130360","2011",18729
"130370","2011",24689
"130380","2011",38507
"130390","2011",32060
"130395","2011",10978
"130400","2011",8495
"130406","2011",53374
"130410","2011",18010
"130420","2011",61223
"130423","2011",17200
"130426","2011",12017
"130430","2011",16996
"130440","2011",18265
"140002","2011",9637
"140005","2011",16337
"140010","2011",290741
"140015","2011",11068
"140017","2011",14312
"140020","2011",18714
"140023","2011",8300
"140028","2011",8997
"140030","2011",15065
"140040","2011",9156
"140045","2011",10698
"140047","2011",24808
"140050","2011",6898
"140060","2011",6861
"140070","2011",8573
"150010","2011",142785
"150013","2011",6844
"150020","2011",53680
"150030","2011",35467
"150034","2011",25286
"150040","2011",53004
"150050","2011",33588
"150060","2011",100736
"150070","2011",25254
"150080","2011",477999
"150085","2011",21398
"150090","2011",41072
"150095","2011",27070
"150100","2011",15875
"150110","2011",24644
"150120","2011",38092
"150125","2011",3405
"150130","2011",102668
"150140","2011",1402056
"150145","2011",16451
"150150","2011",52888
"150157","2011",15467
"150160","2011",13923
"150170","2011",114720
"150172","2011",15575
"150175","2011",7306
"150178","2011",54032
"150180","2011",93835
"150190","2011",26053
"150195","2011",27332
"150200","2011",20801
"150210","2011",122683
"150215","2011",27929
"150220","2011",64140
"150230","2011",52057
"150240","2011",176116
"150250","2011",21286
"150260","2011",11439
"150270","2011",45724
"150275","2011",28774
"150276","2011",10811
"150277","2011",18197
"150280","2011",29204
"150285","2011",12487
"150290","2011",34919
"150293","2011",52224
"150295","2011",31954
"150300","2011",8035
"150304","2011",18036
"150307","2011",25097
"150309","2011",31031
"150310","2011",29520
"150320","2011",36155
"150330","2011",58498
"150340","2011",10218
"150345","2011",53318
"150350","2011",31429
"150360","2011",97704
"150370","2011",51341
"150375","2011",14223
"150380","2011",52191
"150390","2011",48306
"150400","2011",25440
"150405","2011",28100
"150410","2011",8148
"150420","2011",238708
"150430","2011",28438
"150440","2011",26750
"150442","2011",110842
"150445","2011",27785
"150450","2011",25096
"150460","2011",27207
"150470","2011",71329
"150480","2011",55636
"150490","2011",34875
"150495","2011",20256
"150497","2011",14859
"150500","2011",13844
"150503","2011",25138
"150506","2011",63604
"150510","2011",49552
"150520","2011",29005
"150530","2011",63905
