"MUNIC_RES","ANO","POPULACAO"
"110001","1998",24793
"110002","1998",71366
"110003","1998",7785
"110004","1998",74482
"110005","1998",18931
"110006","1998",24320
"110007","1998",10052
"110008","1998",10369
"110009","1998",24511
"110010","1998",38839
"110011","1998",47437
"110012","1998",93961
"110013","1998",28095
"110014","1998",15253
"110015","1998",40508
"110018","1998",31761
"110020","1998",304996
"110025","1998",28932
"110026","1998",2963
"110028","1998",43770
"110029","1998",10768
"110030","1998",45300
"110032","1998",22953
"110033","1998",15986
"110034","1998",19127
"110037","1998",9596
"110040","1998",11585
"110045","1998",11140
"110050","1998",10592
"110060","1998",5043
"110070","1998",7643
"110080","1998",12462
"110090","1998",4180
"110092","1998",4216
"110094","1998",4147
"110100","1998",11346
"110110","1998",5481
"110120","1998",10230
"110130","1998",13651
"110140","1998",11555
"110143","1998",6392
"110145","1998",4129
"110146","1998",2334
"110147","1998",4142
"110148","1998",6679
"110149","1998",6387
"110150","1998",9752
"110155","1998",5170
"110160","1998",9317
"110170","1998",15322
"110175","1998",7122
"110180","1998",9302
"120001","1998",6730
"120005","1998",2918
"120010","1998",13938
"120013","1998",4641
"120017","1998",3286
"120020","1998",60817
"120025","1998",10012
"120030","1998",24164
"120032","1998",3697
"120033","1998",9095
"120034","1998",5889
"120035","1998",8522
"120038","1998",11971
"120039","1998",4898
"120040","1998",249930
"120042","1998",9360
"120043","1998",1848
"120045","1998",13971
"120050","1998",22825
"120060","1998",23838
"120070","1998",13756
"120080","1998",7944
"130002","1998",15607
"130006","1998",6908
"130008","1998",7375
"130010","1998",10825
"130014","1998",12949
"130020","1998",8161
"130030","1998",29236
"130040","1998",18860
"130050","1998",21214
"130060","1998",26087
"130063","1998",9864
"130068","1998",9268
"130070","1998",22555
"130080","1998",27132
"130083","1998",5578
"130090","1998",7033
"130100","1998",21696
"130110","1998",15631
"130115","1998",14498
"130120","1998",60521
"130130","1998",15738
"130140","1998",27926
"130150","1998",18879
"130160","1998",24568
"130165","1998",9738
"130170","1998",23510
"130180","1998",11566
"130185","1998",30202
"130190","1998",68625
"130195","1998",6759
"130200","1998",6979
"130210","1998",5385
"130220","1998",4149
"130230","1998",21332
"130240","1998",25374
"130250","1998",69301
"130255","1998",19840
"130260","1998",1224362
"130270","1998",34767
"130280","1998",15119
"130290","1998",39683
"130300","1998",14961
"130310","1998",20574
"130320","1998",15161
"130330","1998",15393
"130340","1998",77544
"130350","1998",18983
"130353","1998",11714
"130356","1998",11586
"130360","1998",10786
"130370","1998",25429
"130380","1998",28525
"130390","1998",23631
"130395","1998",6208
"130400","1998",7379
"130406","1998",33827
"130410","1998",14840
"130420","1998",66172
"130423","1998",16499
"130426","1998",12345
"130430","1998",19470
"130440","1998",14857
"140002","1998",4896
"140005","1998",14947
"140010","1998",163024
"140015","1998",6396
"140017","1998",8659
"140020","1998",10077
"140023","1998",4562
"140028","1998",2853
"140030","1998",11028
"140040","1998",6510
"140045","1998",6118
"140047","1998",8315
"140050","1998",3834
"140060","1998",4928
"140070","1998",4558
"150010","1998",109838
"150013","1998",5482
"150020","1998",57865
"150030","1998",26256
"150034","1998",24953
"150040","1998",41702
"150050","1998",37127
"150060","1998",83665
"150070","1998",16141
"150080","1998",382194
"150085","1998",9724
